,en_a_01,en_a_11,en_a_12,a_01_det,a_11_det,a_12_det,multiple_det,a01_vel,a11_vel,a12_vel
8428,3.73407218085454,2.150550467009839,3.293377352135621,3.0,0.0,,True,[ 1.3923072  -1.20373711 -1.85056684],[1.16899833 1.34489544 1.90703937],[-2.427181    0.19496445  0.93961761]
8539,4.424961418121066,0.7440140426657758,4.009024539213159,7.0,3.0,,True,[-1.26353712  1.22884572  1.92497069],[ 1.1582795  -1.37660403 -1.89088602],[ 0.8284843  -0.69798445  2.37455922]
8578,4.461357702951405,4.536399316548733,0.18024298049986243,,1.0,6.0,True,[-0.96838783  1.19736139  2.10728515],[ 1.46582827 -1.24895166  1.76169442],[-1.13957956 -1.41777843  1.87172721]
8641,4.407890810792449,0.37916108539337057,4.39094810381418,,5.0,0.0,True,[-0.7670428  -1.68581956  1.83895562],[-1.25642819  1.30523907 -1.87878662],[1.13772861 1.30551813 1.95276625]
8673,3.7288493665390465,2.3954362872618167,3.0537143461991376,3.0,0.0,,True,[ 1.20179011 -1.35164855 -1.88171377],[1.21016559 1.43220132 1.81559869],[-2.39983411  0.22513349  1.00110496]
8690,4.393990014926777,3.769076009675404,1.01493397539782,1.0,,5.0,True,[ 1.29401773 -1.4175402   1.76867122],[-0.66145725  0.88095183  2.36611458],[-1.41779241  1.25182385 -1.79858325]
8708,4.392593034163924,4.642446771248079,0.1429601945879968,0.0,6.0,,True,[1.45801331 1.25820399 1.76159584],[-1.46268665 -1.28940399  1.73495969],[-2.01070765 -1.58034229 -0.52122257]
8843,3.751672467786789,2.237397125974086,3.188930406239125,5.0,0.0,,True,[-1.44355186  1.2961407  -1.74593165],[1.29665063 1.2252828  1.90511921],[ 0.47964422 -2.43218609  0.81640202]
8906,4.392636577909673,3.4005571903547502,1.3848062317355772,1.0,,6.0,True,[ 1.36267419 -1.36059618  1.76181642],[-0.74467054  2.47337112  0.37416717],[-1.26001653 -1.45263024  1.76474466]
8971,4.424277364441895,4.540877528522212,0.21284510703589365,1.0,,0.0,True,[ 1.1790212  -1.31519235  1.92153014],[-1.72726924  1.33041172  1.43479811],[1.23753017 1.37401265 1.8419306 ]
9200,4.418154913888581,1.7986238254227622,2.9612212606886565,6.0,7.0,,True,[-1.37513797 -1.16030133  1.8907132 ],[-1.14190046  1.35021601  1.91965624],[2.56964305 0.36498438 0.27535611]
9303,4.406252251832302,3.7680728955074043,1.0036748526602937,1.0,,5.0,True,[ 1.28898135 -1.3413538   1.83068213],[-0.64312071  0.78787144  2.40369598],[-1.4546447   1.28391029 -1.74576149]
9363,3.7281922587877596,0.07700635043883783,5.372801390773403,2.0,,6.0,True,[ 1.35342356  1.19361752 -1.88563567],[0.86466338 2.41196282 0.49688286],[-1.23092816 -1.28304963  1.91068038]
9372,4.409662912732284,0.1570029256955781,4.611334161572137,1.0,,7.0,True,[ 1.35733844 -1.24699555  1.84790001],[ 0.01444706 -0.24888291 -2.59806632],[-1.32999159  1.26534635  1.85529539]
